Frequency(Hz),IC(Re),IC(-Im)
7812.5203,41668.627,-9248.448
7751.485,42085.206,-9109.571
7690.4497,42057.397,-9030.025
7629.4144,41993.14,-8932.268
7568.3791,42152.481,-8945.469
7507.3438,42052.058,-8788.366
7446.3085,41878.676,-8590.263
7385.2731,41962.305,-8713.134
7324.2378,42155.961,-8483.384
7263.2025,42130.016,-8418.683
7202.1672,41924.409,-8391.284
7141.1319,41935.709,-8230.843
7080.0966,41947.252,-8230.504
7019.0612,41886.001,-8070.45
6958.0259,42044.057,-8106.802
6896.9906,42092.76,-7737.372
6835.9553,41956.434,-7901.005
6774.92,41896.345,-7778.147
6713.8847,42018.636,-7769.26
6652.8494,41995.485,-7546.632
6591.814,42045.359,-7424.316
6530.7787,42095.438,-7424.865
6469.7434,42106.418,-7347.733
6408.7081,42156.922,-7284.869
6347.6728,42062.465,-7213.041
6286.6375,42113.458,-6901.021
6225.6022,42052.925,-7014.863
6164.5668,42031.915,-6830.186
6103.5315,42119.834,-6813.236
6042.4962,42093.386,-6655.134
5981.4609,42036.988,-6475.577
5920.4256,42086.409,-6557.923
5859.3903,42319.708,-6455.472
5798.3549,42191.821,-6240.271
5737.3196,42097.445,-6097.089
5676.2843,42186.832,-6035.712
5615.249,42093.066,-6127.3
5554.2137,42110.782,-5818.174
5493.1784,42161.803,-5878.328
5432.1431,42104.977,-5681.831
5371.1077,42159.447,-5697.466
5310.0724,42208.165,-5563.885
5249.0371,42083.218,-5471.718
5188.0018,42099.473,-5284.904
5126.9665,42226.762,-5305.299
5065.9312,42099.772,-5064.904
5004.8958,42116.776,-5008.773
4943.8605,42280.571,-4867.829
4882.8252,42154.498,-4937.458
4821.7899,42172.237,-4903.957
4760.7546,42229.054,-4843.974
4699.7193,42283.103,-4568.725
4638.684,42158.275,-4479.541
4577.6486,42284.438,-4379.268
4516.6133,42342.178,-4286.117
4455.578,42218.254,-4241.951
4394.5427,42345.037,-4121.846
4333.5074,42257.481,-3948.232
4272.4721,42313.203,-3830.614
4211.4367,42336.418,-3909.866
4150.4014,42356.886,-3796.852
4089.3661,42377.602,-3567.912
4028.3308,42398.566,-3602.361
3967.2955,42312.749,-3411.599
3906.2602,42405.577,-3446.122
3875.7425,42435.74,-3300.805
3845.2249,42323.339,-3209.015
3814.7072,42353.638,-3115.024
3784.1895,42312.702,-3119.091
3753.6719,42450.054,-3134.3
3723.1542,42409.25,-3020.323
3692.6366,42439.789,-2950.919
3662.1189,42470.388,-3008.468
3631.6013,42465.42,-2878.974
3601.0836,42496.142,-2892
3570.5659,42384.455,-2818.21
3540.0483,42450.926,-2717.732
3509.5306,42410.62,-2795.326
3479.013,42444.611,-2715.102
3448.4953,42472.642,-2561.086
3417.9777,42396.95,-2505.193
3387.46,42463.716,-2420.396
3356.9423,42459.355,-2391.23
3326.4247,42490.648,-2293.125
3295.907,42557.584,-2321.808
3265.3894,42553.415,-2277.106
3234.8717,42549.314,-2256.875
3204.354,42580.853,-2077.684
3173.8364,42576.884,-2130.845
3143.3187,42572.982,-2111.755
3112.8011,42569.148,-2007.098
3082.2834,42636.502,-1905.797
3051.7658,42597.24,-1905.631
3021.2481,42558.052,-1846.582
2990.7304,42590.039,-1774.215
2960.2128,42619.063,-1779.497
2929.6951,42686.714,-1736.036
2899.1775,42751.386,-1659.148
2868.6598,42641.473,-1634.59
2838.1422,42709.302,-1604.486
2807.6245,42741.66,-1515.544
2777.1068,42774.08,-1449.931
2746.5892,42735.514,-1432.066
2716.0715,42729.508,-1359.717
2685.5539,42797.638,-1324.107
2655.0362,42830.312,-1208.598
2624.5186,42866.094,-1196.397
2594.0009,42827.872,-1148.602
2563.4832,42890.158,-1035.75
2532.9656,42887.582,-1030.141
2502.4479,42885.074,-1005.674
2471.9303,42882.634,-930.181
2441.4126,42951.255,-820.866
2410.895,42913.451,-742.067
2380.3773,42908.163,-685.967
2349.8596,42941.481,-635.472
2319.342,43045.837,-530.643
2288.8243,43079.28,-557.786
2258.3067,43077.304,-515.346
2227.789,43143.294,-466.78
2197.2713,43070.495,-418.254
2166.7537,43139.676,-270.926
2136.236,43102.494,-254.979
2105.7184,43239.678,-224.052
2075.2007,43167.164,-145.483
2044.6831,43201.129,-138.481
2014.1654,43235.16,-74.676
1983.6477,43337.108,12.953
1953.1301,43300.34,-61.956
1937.8713,43301.253,102.166
1922.6124,43299.104,122.94
1907.3536,43370.977,94.337
1892.0948,43407.407,139.084
1876.8359,43372.927,177.322
1861.5771,43370.843,249.485
1846.3183,43478.251,256.418
1831.0595,43479.289,265.706
1815.8006,43441.788,264.031
1800.5418,43407.396,349.371
1785.283,43443.948,330.263
1770.0241,43480.519,390.673
1754.7653,43549.477,416.976
1739.5065,43550.62,458.27
1724.2477,43516.314,490.7
1708.9888,43549.858,511.458
1693.73,43551.053,525.88
1678.4712,43620.092,509.234
1663.2123,43585.859,617.304
1647.9535,43587.106,622.309
1632.6947,43659.304,658.348
1617.4359,43657.48,613.989
1602.177,43694.248,687.71
1586.9182,43695.568,712.115
1571.6594,43658.328,707.098
1556.4005,43730.615,774.729
1541.1417,43728.874,754.195
1525.8829,43765.731,795.227
1510.6241,43767.139,835.708
1495.3652,43765.448,900.512
1480.1064,43837.827,917.167
1464.8476,43800.701,986.957
1449.5887,43873.115,1060.141
1434.3299,43910.082,1040.226
1419.0711,43869.88,1050.089
1403.8122,43906.879,1118.841
1388.5534,43979.366,1136.06
1373.2946,43942.339,1153.752
1358.0358,43979.394,1215.862
1342.7769,44048.799,1214.711
1327.5181,44050.426,1219.19
1312.2593,44019.738,1284.722
1297.0004,44086.06,1271.287
1281.7416,44055.411,1314.657
1266.4828,44160.379,1348.975
1251.224,44123.481,1373.317
1235.9651,44163.833,1444.415
1220.7063,44233.382,1437.718
1205.4475,44196.532,1456.517
1190.1886,44233.794,1518.652
1174.9298,44271.076,1487.675
1159.671,44269.748,1559.684
1144.4122,44342.541,1578.594
1129.1533,44341.246,1619.564
1113.8945,44378.603,1611.873
1098.6357,44377.341,1688.317
1083.3768,44485.686,1682.847
1068.118,44487.628,1716.179
1052.8592,44518.717,1722.662
1037.6004,44520.695,1775.95
