time/s,cycle number,ox/red,Ewe/V,I/mA,Capacity/mA.h
6261.511870308066,0.0,0,2.9999607,-89.996735,35.06083579015776
22170.72238410276,1.0,0,2.9999797,-89.970581,32.24272071972145
37450.68237093219,2.0,0,2.9999988,-89.971214,30.33671696697663
52341.2046476251,3.0,0,3.0000179,-89.964211,29.34776849107702
67022.75556946639,4.0,0,2.9999032,-89.991631,28.71544558164598
81583.56007736619,5.0,0,2.9999988,-90.00248,28.31015295961041
96095.63639694965,6.0,0,3.0000751,-89.9776,28.0231162663197
110570.0799253883,7.0,0,2.9999797,-89.971855,27.85250551574455
125013.9516609575,8.0,0,3.0001132,-89.967384,27.75169908064994
139431.0663768358,9.0,0,3.0000179,-89.976318,27.62321019041145
153831.9405619164,10.0,0,2.9999988,-89.989082,27.48991992053774
168227.4385461551,11.0,0,3.0000942,-89.99865,27.28971065855663
182610.5861284593,12.0,0,2.9999988,-89.997368,27.24092375915571
196991.9941104962,13.0,0,3.000056,-89.980782,27.27799865564094
211362.4342908119,14.0,0,3.0000751,-89.976952,27.19133961757911
225719.4350690302,15.0,0,2.9999797,-89.971214,27.12984750275802
240064.6944454061,16.0,0,2.9999225,-90.008858,27.05306491902378
254418.472223121,17.0,0,3.0000179,-90.014587,26.99833919542272
268769.0120444018,18.0,0,2.9999988,-89.985886,27.08141102706612
283116.4329210729,19.0,0,2.9999607,-89.980148,27.09750433147432
297449.6508083362,20.0,0,2.9999607,-89.974411,27.09482561177825
311785.2678938191,21.0,0,2.9999988,-89.973129,27.11561354389192
326125.5667758165,22.0,0,2.9999416,-90.001198,27.0590528730062
340462.4606603179,23.0,0,2.9999797,-90.015228,26.98225732468753
354804.3231411446,24.0,0,2.9999988,-89.987801,27.02986672120622
369145.2868226357,25.0,0,2.9999416,-89.967384,27.11537398413635
383487.0693035307,26.0,0,3.000037,-89.962288,27.16478724473063
397829.8205837049,27.0,0,3.0000942,-89.95591,27.15138659987301
412170.1848656379,28.0,0,2.9999607,-90.005653,27.14474933286498
426524.8981368728,29.0,0,3.0000942,-89.989716,27.04960493178989
440872.2936135866,30.0,0,3.000056,-89.974411,27.07044314112343
455209.9502975307,31.0,0,3.000037,-89.965477,27.09530492456055
469554.1157766283,32.0,0,2.9999988,-89.955276,27.11337271323987
483894.6600584183,33.0,0,3.0000179,-89.95974,27.12285137631438
498237.1405387744,34.0,0,3.0001705,-89.978233,27.1039157339096
512581.5632176913,35.0,0,2.9999797,-89.988441,27.03669426955538
526928.5330356061,36.0,0,2.9999988,-89.962929,27.00227321300717
541263.3446141519,37.0,0,3.000037,-89.95974,27.01754888159137
555597.6537933424,38.0,0,2.9999416,-89.961647,26.99768025662103
569923.2209832072,39.0,0,2.9999988,-89.966118,26.95755523372565
584246.5889757574,40.0,0,3.000056,-89.990356,26.89334095085735
598579.2597569823,41.0,0,2.9999797,-89.99929,26.82547702204467
612908.979341764,42.0,0,3.000056,-89.994179,26.79520869432239
627237.699927777,43.0,0,3.0000942,-89.947617,26.83681276294626
641561.4533199035,44.0,0,3.0000751,-89.949532,26.83496150295599
655881.7027162947,45.0,0,3.0001132,-89.947617,26.86529333717685
670209.5797033645,46.0,0,2.9999032,-89.983345,26.83125370890724
684544.4792818166,47.0,0,3.0000751,-89.985886,26.77454956277507
698875.2144653946,48.0,0,2.9999225,-89.975044,26.72594324292669
713193.1314646569,49.0,0,2.9999988,-89.968033,26.73610065781872
727502.7414740287,50.0,0,3.000056,-89.95974,26.7286355298767
741811.3982845694,51.0,0,2.9999797,-89.962929,26.71334948080914
756120.8590941019,52.0,0,2.9999797,-89.988441,26.68181574644721
770436.0186967216,53.0,0,2.9999032,-90.015869,26.57213154308786
784757.8324912079,54.0,0,3.0000942,-89.996735,26.58548470168984
799071.8508951925,55.0,0,2.9999607,-89.975044,26.63317952225281
813383.0277026258,56.0,0,2.9999797,-89.965477,26.63158159132303
827696.5641071826,57.0,0,2.9999988,-89.963562,26.62626642748769
842009.4017125852,58.0,0,2.9999797,-89.99099,26.58049739204108
856322.6015175357,59.0,0,2.9999797,-90.005653,26.55401604315695
870639.3357181549,60.0,0,3.0000942,-89.992264,26.54710536262851
884952.0367237665,61.0,0,3.000056,-89.968666,26.6279161233656
899269.5851234086,62.0,0,3.0001323,-89.95974,26.68697222848341
913588.9289208874,63.0,0,2.9999797,-89.946342,26.74264252013778
