time/s,cycle number,ox/red,Capacity/mA.h
6777.299464063326,0.0,0,40.11330513614951
23200.57517177175,1.0,0,39.53193429171794
39454.86517483275,2.0,0,39.11413710363177
55601.51405387127,3.0,0,38.77584164002609
71677.93826848682,4.0,0,38.47334074916587
87690.18383315415,5.0,0,38.30385293643189
103660.2606077227,6.0,0,38.12180291266588
119593.1635911183,7.0,0,38.01527991972014
135489.4157192772,8.0,0,37.81359519232854
151354.1611334011,9.0,0,37.78578072697194
167202.8833450135,10.0,0,37.69488567960609
183030.7865533661,11.0,0,37.56736348683934
198829.2555571119,12.0,0,37.44613631811314
214596.5447559876,13.0,0,37.33650933367751
230360.6965543721,14.0,0,37.34431556634903
246109.7527503893,15.0,0,37.27493895662256
261833.456542436,16.0,0,37.31038635154596
277547.4950009896,17.0,0,37.11316910987812
293232.9668808173,18.0,0,36.98360933697255
308890.4453815147,19.0,0,36.92432303437548
324532.2614938822,20.0,0,36.90945703530755
340164.3264135122,21.0,0,36.86922186260228
355784.9923417275,22.0,0,36.76652511931901
371384.9632852543,23.0,0,36.66012080007859
386965.0716436077,24.0,0,36.56267941512385
402522.2742190063,25.0,0,36.57570057497998
418070.9910008144,26.0,0,36.469342583324
433609.7955900077,27.0,0,36.52463632337357
449140.3469854735,28.0,0,36.37510766939454
464647.7255980927,29.0,0,36.26141727182174
480135.9132250077,30.0,0,36.19406705909434
495608.280063685,31.0,0,36.14467682526948
511060.408317484,32.0,0,36.0269859455863
526502.7143226229,33.0,0,36.06217824228416
541933.9421617389,34.0,0,35.97014596743347
557346.876223246,35.0,0,35.87682541621567
572739.3675097609,36.0,0,35.81648401552493
588121.8776084227,37.0,0,35.76435775524394
603490.2039244026,38.0,0,35.69684542031274
618843.6946585681,39.0,0,35.62969599466074
634174.9452937059,40.0,0,35.54109313478892
649496.2127409987,41.0,0,35.48069076384815
664810.0579973687,42.0,0,35.49601607290818
680120.4198581874,43.0,0,35.4428509789166
695417.1633356065,44.0,0,35.37361309518436
710689.6072425582,45.0,0,35.22156181676399
725942.9902989976,46.0,0,35.14937224541012
741177.2690525986,47.0,0,35.10724851152548
756402.567617205,48.0,0,35.10726037863382
771623.9589865468,49.0,0,35.06155873099335
786834.4997691357,50.0,0,34.97940682345958
802028.6129716448,51.0,0,34.88334480024976
817204.1413968503,52.0,0,34.81629878226301
832363.866441384,53.0,0,34.83106408057583
847519.3862910569,54.0,0,34.7762190623584
862667.4269498475,55.0,0,34.72358984168197
877803.1380237639,56.0,0,34.61472837335078
892920.6517044529,57.0,0,34.54277233110726
908021.5732052736,58.0,0,34.48510495022163
923116.491528988,59.0,0,34.49953991868038
938204.697845474,60.0,0,34.46139836815308
953286.1445702465,61.0,0,34.4117471653646
968352.295929011,62.0,0,34.3120923394432
983402.1674922518,63.0,0,34.25495800357645
998440.5042695804,64.0,0,34.19942225839026
1013473.952653009,65.0,0,34.2114825103268
1028501.85884307,66.0,0,34.17091813822512
1043520.039844982,67.0,0,34.11652629400545
1058518.179975647,68.0,0,34.00766307868611
1073502.461139217,69.0,0,33.96505999108886
1088473.846121207,70.0,0,33.90219086625886
1103432.884520851,71.0,0,33.87568549631423
1118385.523329664,72.0,0,33.83039637128577
1133328.185752667,73.0,0,33.77719870617167
1148257.597388841,74.0,0,33.72440289657764
1163176.625839831,75.0,0,33.67131456153406
1178085.103711769,76.0,0,33.61888872869832
1192992.616785113,77.0,0,33.60952360135434
1207890.697871957,78.0,0,33.55208956729715
1222770.626378818,79.0,0,33.4824999694274
1237639.160101898,80.0,0,33.42313046763609
1252494.563043855,81.0,0,33.37147257601756
1267348.650187694,82.0,0,33.39762172112196
1282200.781334247,83.0,0,33.38035457114755
1297044.47189289,84.0,0,33.3298182264061
1311875.977269046,85.0,0,33.21836244203649
1326689.949470308,86.0,0,33.16368260857099
1341489.442292292,87.0,0,33.10224300682536
1356288.229315247,88.0,0,33.118615179888
1371078.129750974,89.0,0,33.09226625868994
1385859.929798216,90.0,0,33.04909763133242
1400623.832266338,91.0,0,32.94944317629881
1415374.940752737,92.0,0,32.89236537282476
1430117.307651684,93.0,0,32.8431805785709
1444854.558957946,94.0,0,32.87408228671649
1459593.624261579,95.0,0,32.83899412682
1474318.922784928,96.0,0,32.78787030646724
1489029.072129942,97.0,0,32.66499975056757
1503720.036502462,98.0,0,32.60225971308685
1518399.904887091,99.0,0,32.55551277890186
1533078.915476575,100.0,0,32.57349849640319
1547750.304673295,101.0,0,32.55631290920931
1562414.69848007,102.0,0,32.47589526053956
1577059.043715533,103.0,0,32.37003867455378
1591688.263172597,104.0,0,32.32845080501048
1606309.446041115,105.0,0,32.32269821015466
1620928.158913262,106.0,0,32.31202863633553
1635543.251990553,107.0,0,32.27329040499117
1650148.757278657,108.0,0,32.18918191898596
1664730.581000544,109.0,0,32.08395319607204
1679299.333941143,110.0,0,32.02565469549815
1693855.72369948,111.0,0,31.98237444393799
1708406.341666076,112.0,0,31.94092444672221
1722947.232444204,113.0,0,31.90257152864245
1737474.684841562,114.0,0,31.83617365048348
1751992.155253273,115.0,0,31.8021556399333
1766502.836474594,116.0,0,31.74980248231424
1780999.146716524,117.0,0,31.70138831457647
1795488.515968412,118.0,0,31.70084095018857
1809974.627823007,119.0,0,31.66503743618139
1824452.650089201,120.0,0,31.60350168797087
1838917.630374139,121.0,0,31.56514702727427
1853373.269872393,122.0,0,31.5031867087627
1867822.817379348,123.0,0,31.54863136632114
1882275.23408214,124.0,0,31.52815709863667
1896721.709593512,125.0,0,31.51258955844667
1911163.894309606,126.0,0,31.41636779056422
1925583.486456759,127.0,0,31.34317011304601
1939992.426819179,128.0,0,31.3017482289306
1954396.961587898,129.0,0,31.33992248243715
1968808.842747349,130.0,0,31.34141461487411
1983215.020713679,131.0,0,31.301241082258
1997607.213500045,132.0,0,31.20948664402647
2011982.150709573,133.0,0,31.14124389935723
2026351.308527257,134.0,0,31.08657312282859
2040709.648559861,135.0,0,31.12649958357408
2055077.865978848,136.0,0,31.12861594294486
2069449.713393446,137.0,0,31.10917911568914
2083806.462428942,138.0,0,31.01184723558344
2098140.019106206,139.0,0,30.93205743321483
2112458.387126744,140.0,0,30.88141048681391
2126775.325741746,141.0,0,30.92079774831136
2141095.887778908,142.0,0,30.91312157303873
2155729.229817376,143.0,0,30.91121173914888
2170044.73841605,144.0,0,30.81565588917672
2184336.48283783,145.0,0,30.73888433290524
2198616.538571723,146.0,0,30.68724075143263
2212891.182864115,147.0,0,30.72504804893451
2227170.13299036,148.0,0,30.73299375747429
2241454.795757227,149.0,0,30.73600369881232
2255728.938644387,150.0,0,30.65273634226316
2269984.022786308,151.0,0,30.56726443281472
2284226.976436261,152.0,0,30.51978153689319
2298460.295409858,153.0,0,30.47589940936531
2312694.272389513,154.0,0,30.54552477054559
2326934.581419222,155.0,0,30.51399173704697
2341162.593554176,156.0,0,30.39965105520757
2355373.028555661,157.0,0,30.34769440422865
2369570.880258501,158.0,0,30.29209165807898
2383757.605277486,159.0,0,30.23375939972606
2397937.472842675,160.0,0,30.2312780542793
2412112.979773983,161.0,0,30.19104028479724
2426275.704206318,162.0,0,30.12379858905962
2440429.681570917,163.0,0,30.06380494001096
2454569.76382833,164.0,0,30.01372768325381
2468709.816686325,165.0,0,30.06929074290719
2482853.035769135,166.0,0,30.04716665913008
2496991.305413149,167.0,0,30.03239016767839
2511124.280217558,168.0,0,29.99714786544716
2525242.984912358,169.0,0,29.8840649400406
2539344.500674309,170.0,0,29.82168745556893
2553435.251953921,171.0,0,29.78270293022877
2567525.991432734,172.0,0,29.82983200969313
2581618.474326964,173.0,0,29.80208379584377
2595706.164781779,174.0,0,29.77310644887118
2609775.878699064,175.0,0,29.65529175715172
2623833.654926017,176.0,0,29.60442479569797
2637879.850062184,177.0,0,29.54676216544973
2651930.116431974,178.0,0,29.60951719011855
2665985.629042104,179.0,0,29.61391777913667
2680032.937189311,180.0,0,29.58147926332687
2694065.554020543,181.0,0,29.44326065378445
2708080.015912917,182.0,0,29.37780884899437
2722072.564436696,183.0,0,29.31432494271681
2736062.423140064,184.0,0,29.36502725559664
2750065.009141255,185.0,0,29.3750522125435
2764062.671106204,186.0,0,29.34585508248014
2778049.612986661,187.0,0,29.22620546828714
2792017.501321645,188.0,0,29.17008669367939
2805974.958775643,189.0,0,29.12780060611724
2819923.171557859,190.0,0,29.16364299227652
2833882.958430376,191.0,0,29.14174686942076
2847834.288237035,192.0,0,29.12619223736866
2861769.7589233,193.0,0,29.02393925983298
2875695.407534316,194.0,0,28.95361012020026
2889610.459063411,195.0,0,28.90109657183924
2903508.98966464,196.0,0,28.87080996464411
2917405.691852428,197.0,0,28.83954413310242
2931299.739818849,198.0,0,28.82448419690239
2945152.64726983,199.0,0,28.76382816699725
2959026.383080482,200.0,0,28.71028657695475
2972894.306046899,201.0,0,28.65180276779219
2986749.242913896,202.0,0,28.59894784731296
3000595.592713647,203.0,0,28.58388127946981
3014444.112531103,204.0,0,28.56922601273683
3028288.882319525,205.0,0,28.52041004342905
3042125.652647018,206.0,0,28.47649620769033
3055955.923925042,207.0,0,28.44663653376045
3069783.358178698,208.0,0,28.41405760663481
